date,index_name,close
2026-03-17,電器電纜類指數,102.47
2026-03-17,化學生技醫療類指數,140.56
2026-03-17,化學類指數,174.08
2026-03-17,生技醫療類指數,77.37
2026-03-17,玻璃陶瓷類指數,143.27
2026-03-17,造紙類指數,239.21
2026-03-17,鋼鐵類指數,119.31
2026-03-17,橡膠類指數,187.82
2026-03-17,汽車類指數,294.87
2026-03-17,電子工業類指數,2100.44
2026-03-17,半導體類指數,1118.24
2026-03-17,電腦及週邊設備類指數,319.97
2026-03-17,光電類指數,45.17
2026-03-17,通信網路類指數,205.71
2026-03-17,電子零組件類指數,589.03
2026-03-17,電子通路類指數,340.18
2026-03-17,資訊服務類指數,199.28
2026-03-17,其他電子類指數,223.9
2026-03-17,建材營造類指數,470.82
2026-03-17,航運類指數,187.28
2026-03-17,觀光餐旅類指數,104.32
2026-03-17,金融保險類指數,2450.61
2026-03-17,貿易百貨類指數,232.92
2026-03-17,油電燃氣類指數,78.91
2026-03-17,綠能環保類指數,110.32
2026-03-17,數位雲端類指數,35.4
2026-03-17,運動休閒類指數,62.17
2026-03-17,居家生活類指數,109.22
2026-03-17,其他類指數,267.01
2026-03-16,發行量加權股價指數,33342.51
2026-03-16,水泥窯製類指數,635.13
2026-03-16,塑膠化工類指數,749.1
2026-03-16,機電類指數,11404.12
2026-03-16,水泥類指數,123.77
2026-03-16,食品類指數,1919.22
2026-03-16,塑膠類指數,195.97
2026-03-16,紡織纖維類指數,493.05
2026-03-16,電機機械類指數,467.6
2026-03-16,電器電纜類指數,100.68
2026-03-16,化學生技醫療類指數,139.86
2026-03-16,化學類指數,174.92
2026-03-16,生技醫療類指數,76.61
2026-03-16,玻璃陶瓷類指數,142.36
2026-03-16,造紙類指數,237.73
2026-03-16,鋼鐵類指數,118.19
2026-03-16,橡膠類指數,187.26
2026-03-16,汽車類指數,283.07
2026-03-16,電子工業類指數,2064.39
2026-03-16,半導體類指數,1100.96
2026-03-16,電腦及週邊設備類指數,316.6
2026-03-16,光電類指數,44.12
2026-03-16,通信網路類指數,202.66
2026-03-16,電子零組件類指數,565.69
2026-03-16,電子通路類指數,323.6
2026-03-16,資訊服務類指數,198.83
